Name,price,country,earnings_ttm,marketcap,pe_ratio_ttm,revenue_ttm,total_shares,dividend_yield,potencial
Bain Capital,15.963061999999999,United States,166180000.0,1030611978.7136,9.86207,183453750.0,64562298.80668259,1.3661471477201766e-05,Empresas de Baixo Potencial
Leggett &amp; Platt,13.2104815,United States,-871390937.5,1772397472.3583748,9.00786,5645000000.0,134166000.86517474,1.3661471477201766e-05,Empresas de Potencial Mediano
Medical Properties Trust,5.619455,United States,-871390937.5,3372797043.392,-52.23688250000001,902586250.0,468084400.97929186,1.3661471477201766e-05,Empresas de Baixo Potencial
Orion Office REIT,3.7336039999999997,United States,-76220000.0,208886929.8712,-2.37427,225185000.0,55947800.0,1.3661471477201766e-05,Empresas de Baixo Potencial
Two Harbors Investment,13.086663000000001,United States,207742500.0,1356079230.521625,-52.23688250000001,403022500.0,103622996.2154313,1.3661471477201766e-05,Empresas de Baixo Potencial
Delek Logistics Partners,41.374427999999995,United States,164636250.0,1945839318.3616252,11.9583,1308345000.0,47029999.26335236,1.3661471477201766e-05,Empresas de Baixo Potencial
Comgás,21.633949299999998,Brazil,820103750.0,2866760770.802875,39.2227,3609399595.0,132512133.17777699,1.3661471477201766e-05,Empresas de Baixo Potencial
Hercules Capital,18.806410985,United States,351201250.0,3053691121.3183746,8.81696,464890000.0,162375007.3181959,1.3661471477201766e-05,Empresas de Baixo Potencial
NexPoint Diversified Real Estate Trust,5.924239,United States,-141816250.0,240820902.0592,-1.93478,-84800000.0,40650099.035369776,1.3661471477201766e-05,Empresas de Baixo Potencial
Chimera Investment Corporation,15.0010875,United States,273685000.0,1208048079.9936,31.7451,357590000.0,80530700.19047618,1.3661471477201766e-05,Empresas de Baixo Potencial
Kohl's,20.144412745000004,United States,831250000.0,2240824147.02075,-20.4902,10562148750.0,111237998.11820972,1.3661471477201766e-05,Empresas de Potencial Mediano
Banco Bradesco,2.552566,Brazil,1220532500.0,15534204037.670837,9.74813,10562148750.0,468084400.97929186,4.664655199898393e-06,Empresas de Muito Alto Potencial
Xerox,9.8197595,United States,-186250000.0,1220910330.5344,9.88785,8121250000.0,124331999.22405432,1.3661471477201766e-05,Empresas de Potencial Mediano
Superior Plus,5.2945457314999995,Canada,186271250.0,1316007782.695125,-22.7483,2750841492.5,248559149.25156125,1.3661471477201766e-05,Empresas de Baixo Potencial
Grupo Elektra,57.001941865,Mexico,635235000.0,12580320366.153751,35.7112,10562148750.0,220699856.08469674,9.361575983140639e-06,Empresas de Muito Alto Potencial
Entravision Communications,2.0287185,United States,-104955000.0,182558514.5328,23.6667,1193223750.0,89987109.85915492,1.3661471477201766e-05,Empresas de Baixo Potencial
AG Mortgage Investment Trust,7.219666245000001,United States,72262500.0,212929615.32559997,14.1636,69980000.0,29492999.8284983,1.3661471477201766e-05,Empresas de Baixo Potencial
USA Compression Partners,21.506321,United States,342102500.0,2516390089.817625,70.237755,1133403750.0,117006999.4685574,1.3661471477201766e-05,Empresas de Baixo Potencial
Starwood Property Trust,19.296637,United States,497002500.0,6688503898.521625,11.7523,1218611250.0,346615003.3563685,1.3661471477201766e-05,Empresas de Alto Potencial
Yellow Pages (Canada),6.8183133394999995,Canada,44324500.0,92443349.276,2.86222,207817315.0,13558096.36093654,1.3661471477201766e-05,Empresas de Baixo Potencial
Ares Capital,19.963352,United States,1220532500.0,12584637668.65875,8.86017,2318750000.0,468084400.97929186,9.120455274278295e-06,Empresas de Alto Potencial
Labrador Iron Ore Royalty Corp.,22.8283216,Canada,147741250.0,1461014491.10975,9.9136,195133396.25,64000083.61147979,1.3661471477201766e-05,Empresas de Baixo Potencial
